代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),市盈率,
000017.SZ,深中华A,1992-03-31,--,11,13,11,12.9,69700,4384000,--,--,62.8981,34.4476,
000017.SZ,深中华A,1992-04-01,12.9,12.9,14.7,12.9,14,85000,5625000,1.1,8.5271,66.1765,37.385,
000017.SZ,深中华A,1992-04-02,14,13.85,14,13.55,13.85,82900,5742000,-0.15,-1.0714,69.2642,36.9844,
000017.SZ,深中华A,1992-04-03,13.85,14,14,13,13.5,67600,4556000,-0.35,-2.5271,67.3964,36.0498,
000017.SZ,深中华A,1992-04-06,13.5,13.5,13.8,13.15,13.7,73800,4984000,0.2,1.4815,67.5339,36.5839,
000017.SZ,深中华A,1992-04-07,13.7,13.8,14.6,13.8,14.1,86700,6151000,0.4,2.9197,70.9458,37.652,
000017.SZ,深中华A,1992-04-08,14.1,14,14.4,13.7,14,58000,4088000,-0.1,-0.7092,70.4828,37.385,
000017.SZ,深中华A,1992-04-09,14,14.15,14.8,14.15,14.35,82000,5914000,0.35,2.5,72.122,38.3196,
000017.SZ,深中华A,1992-04-10,14.35,14.5,15.2,14.35,15,115000,8440000,0.65,4.5296,73.3913,40.0553,
000017.SZ,深中华A,1992-04-13,15,15,17.2,15,16.8,93800,7695000,1.8,12,82.0362,44.862,
000017.SZ,深中华A,1992-04-14,16.8,16.95,18.1,16.95,17.35,78000,6786000,0.55,3.2738,87,46.3307,
000017.SZ,深中华A,1992-04-15,17.35,17.5,17.5,15.5,16,64200,5259000,-1.35,-7.781,81.9159,42.7257,
000017.SZ,深中华A,1992-04-16,16,15.9,16.6,15.5,16.55,97300,7893000,0.55,3.4375,81.1202,44.1944,
000017.SZ,深中华A,1992-04-17,16.55,16.5,17,16.3,16.65,74800,6265000,0.1,0.6042,83.7567,44.4614,
000017.SZ,深中华A,1992-04-20,16.65,16.5,16.7,15.6,15.8,44500,3557000,-0.85,-5.1051,79.9326,42.1916,
000017.SZ,深中华A,1992-04-21,15.8,15.95,16,15,15.8,66900,5208000,0,0,77.8475,42.1916,
000017.SZ,深中华A,1992-04-22,15.8,15.8,16.8,15.55,16.7,88700,7157000,0.9,5.6962,80.6877,44.5949,
000017.SZ,深中华A,1992-04-23,16.7,16.85,17.2,16.65,17.1,101200,8584000,0.4,2.3952,84.8221,45.6631,
000017.SZ,深中华A,1992-04-24,17.1,17.25,17.5,16.9,17.15,90600,7835000,0.05,0.2924,86.479,45.7966,
000017.SZ,深中华A,1992-04-27,17.15,17.3,17.3,16.5,16.75,62900,5312000,-0.4,-2.3324,84.4515,44.7284,
000017.SZ,深中华A,1992-04-28,16.75,16.8,17,16.3,16.8,59300,4954000,0.05,0.2985,83.5413,44.862,
000017.SZ,深中华A,1992-04-29,16.8,16.95,17.2,16.8,16.9,104600,8882000,0.1,0.5952,84.914,45.129,
000017.SZ,深中华A,1992-04-30,16.9,17.05,17.8,16.95,17.2,114600,9910000,0.3,1.7751,86.4747,45.9301,
000017.SZ,深中华A,1992-05-04,17.2,17.7,17.9,17.3,17.6,100900,8910000,0.4,2.3256,88.3053,46.9982,
000017.SZ,深中华A,1992-05-05,17.6,17.75,18.6,17.7,18.6,726000,13503000,1,5.6818,18.5992,49.6686,
000017.SZ,深中华A,1992-05-06,18.6,18.75,21,18.75,19.9,122800,12425000,1.3,13.0682,101.1808,53.1401,
000017.SZ,深中华A,1992-05-07,19.9,19.75,19.75,18,18.95,82100,7652000,-0.95,-4.7739,93.2034,50.6032,
000017.SZ,深中华A,1992-05-08,18.95,19.1,19.8,18.2,18.75,99300,9455000,-0.2,-1.0554,95.2165,50.0692,
000017.SZ,深中华A,1992-05-11,18.75,18.6,19.4,18.1,19.35,72300,6859000,0.6,3.2,94.8686,51.6714,
000017.SZ,深中华A,1992-05-12,19.35,19.5,21,19.5,20.9,98500,10134000,1.55,8.0103,102.8832,55.8104,
000017.SZ,深中华A,1992-05-13,20.9,21.05,21.6,20.8,21.1,665500,14042000,0.2,0.9569,21.0999,56.3445,
000017.SZ,深中华A,1992-05-14,21.1,21.25,21.6,20,21.45,118900,12494000,0.35,1.6588,105.0799,57.2791,
000017.SZ,深中华A,1992-05-15,21.45,21.6,22,21,21.65,88600,9572000,0.2,0.9324,108.0361,57.8132,
000017.SZ,深中华A,1992-05-18,21.65,21.8,22.8,21.5,22.65,152200,16829000,1,4.6189,110.5716,60.4835,
000017.SZ,深中华A,1992-05-19,22.65,22.8,24,22.8,23.9,138500,16241000,1.25,5.5188,117.2635,63.8215,
000017.SZ,深中华A,1992-05-20,23.9,24.05,25.5,23.6,23.8,213900,26154000,-0.1,-0.4184,122.2721,63.5544,
000017.SZ,深中华A,1992-05-21,23.8,23.65,25.5,23,25,129300,15776000,1.2,5.042,122.0108,66.7589,
000017.SZ,深中华A,1992-05-22,25,25.15,25.8,24.7,25.05,163100,20541000,0.05,0.2,125.9411,66.8924,
000017.SZ,深中华A,1992-05-25,25.05,25.2,26,24.5,25.6,135700,17253000,0.55,2.1956,127.1408,68.3611,
000017.SZ,深中华A,1992-05-26,25.6,25.5,27.2,25.5,26.75,138500,18272000,1.15,4.4922,131.9278,71.432,
000017.SZ,深中华A,1992-05-27,26.75,26.8,27.5,26.25,26.55,118200,15767000,-0.2,-0.7477,133.3926,70.8979,
000017.SZ,深中华A,1992-05-28,26.55,26.7,26.7,25,26.15,107500,13910000,-0.4,-1.5066,129.3953,69.8298,
000017.SZ,深中华A,1992-05-29,26.15,26,26,25.4,25.55,94000,12060000,-0.6,-2.2945,128.2979,68.2276,
000017.SZ,深中华A,1992-06-01,25.55,25.7,26.6,25.7,26,97000,12697000,0.45,1.7613,130.8969,69.4292,
000017.SZ,深中华A,1992-06-02,26,25.85,25.85,24.6,24.75,86900,10909000,-1.25,-4.8077,125.5351,66.0913,
000017.SZ,深中华A,1992-06-03,24.75,24.9,24.9,21.6,21.9,88700,10736000,-2.85,-11.5152,121.0372,58.4808,
000017.SZ,深中华A,1992-06-04,21.9,21.75,23.8,19.7,23.45,141100,15448000,1.55,7.0776,109.4826,62.6198,
000017.SZ,深中华A,1992-06-05,23.45,23.6,24.5,23.3,23.55,159300,19079000,0.1,0.4264,119.7677,62.8869,
000017.SZ,深中华A,1992-06-08,23.55,23.7,24.2,22.85,23.8,145100,17180000,0.25,1.0616,118.4011,63.5544,
000017.SZ,深中华A,1992-06-09,23.8,23.95,23.95,20.95,21.5,59700,6661000,-2.3,-9.6639,111.5745,57.4126,
000017.SZ,深中华A,1992-06-10,21.5,21.65,22.4,20.6,22,90500,9821000,0.5,2.3256,108.5193,58.7478,
000017.SZ,深中华A,1992-06-11,22,22.15,22.5,21.4,21.5,85900,9407000,-0.5,-2.2727,109.5111,57.4126,
000017.SZ,深中华A,1992-06-12,21.5,21.65,22,21,22,75700,8158000,0.5,2.3256,107.7675,58.7478,
000017.SZ,深中华A,1992-06-15,22,22,22,20,20,45500,4842000,-2,-9.0909,106.4176,53.4071,
000017.SZ,深中华A,1992-06-16,20,19.85,20.2,18.5,18.8,73400,7164000,-1.2,-6,97.6022,50.2027,
000017.SZ,深中华A,1992-06-17,18.8,18.65,21.6,18,21.6,93700,8901000,2.8,14.8936,94.9947,57.6797,
000017.SZ,深中华A,1992-06-18,21.6,21.6,22.8,20,20.8,93300,9997000,-0.8,-3.7037,107.149,55.5434,
000017.SZ,深中华A,1992-06-19,20.8,20.65,21,19.6,20.8,76700,7911000,0,0,103.1421,55.5434,
000017.SZ,深中华A,1992-06-22,20.8,20.95,20.95,19,19.3,54100,5318000,-1.5,-7.2115,98.2994,51.5378,
000017.SZ,深中华A,1992-06-23,19.3,19.15,20.2,19.15,20.2,59000,5774000,0.9,4.6632,97.8644,53.9412,
000017.SZ,深中华A,1992-06-24,20.2,20.35,20.65,19.5,19.8,60500,6005000,-0.4,-1.9802,99.2562,52.873,
000017.SZ,深中华A,1992-06-25,19.8,19.8,20.5,19.5,20,56800,5707000,0.2,1.0101,100.4754,53.4071,
000017.SZ,深中华A,1992-06-26,20,20,21,20,20.95,133000,13868000,0.95,4.75,104.2707,55.9439,
000017.SZ,深中华A,1992-06-29,20.95,21,24,21,23.3,134500,15241000,2.35,11.2172,113.316,62.2193,
000017.SZ,深中华A,1992-06-30,23.3,23.45,24.5,23.45,24.05,193000,23119000,0.75,3.2189,119.7876,64.222,
000017.SZ,深中华A,1992-07-01,24.05,24.2,24.25,22.45,23,173400,20330000,-1.05,-4.3659,117.2434,61.4182,
000017.SZ,深中华A,1992-07-02,23,22.85,22.95,22,22.8,133300,15055000,-0.2,-0.8696,112.9407,60.8841,
000017.SZ,深中华A,1992-07-03,22.8,22.8,23.5,22.4,23.3,101700,11777000,0.5,2.193,115.8014,62.2193,
000017.SZ,深中华A,1992-07-06,23.3,23.45,24.15,22.2,22.6,147300,17192000,-0.7,-3.0043,116.7142,60.35,
000017.SZ,深中华A,1992-07-07,22.6,22.6,23.4,22.5,23,62300,7171000,0.4,1.7699,115.1043,61.4182,
000017.SZ,深中华A,1992-07-08,23,23,23.2,22.7,23.2,70200,8104000,0.2,0.8696,115.4416,61.9522,
000017.SZ,深中华A,1992-07-09,23.2,23.3,23.3,22.65,22.8,91300,10460000,-0.4,-1.7241,114.5674,60.8841,
000017.SZ,深中华A,1992-07-10,22.8,22.8,22.8,22.3,22.7,64000,7250000,-0.1,-0.4386,113.2813,60.6171,
000017.SZ,深中华A,1992-07-13,22.7,22.55,23.4,22.2,23.4,562500,13162500,0.7,3.0837,23.4,62.4863,
000017.SZ,深中华A,1992-07-14,23.4,23.5,23.85,23.3,23.45,94800,11165000,0.05,0.2137,117.7743,62.6198,
000017.SZ,深中华A,1992-07-15,23.45,23.6,23.6,23,23.2,35600,4121000,-0.25,-1.0661,115.7584,61.9522,
000017.SZ,深中华A,1992-07-16,23.2,23.05,23.7,23,23.7,76300,8923000,0.5,2.1552,116.9463,63.2874,
000017.SZ,深中华A,1992-07-17,23.7,23.8,24.2,23.7,24.2,155000,18580000,0.5,2.1097,119.871,64.6226,
000017.SZ,深中华A,1992-07-20,24.2,24.35,25.5,24.35,25.25,170600,21367000,1.05,4.3388,125.2462,67.4265,
000017.SZ,深中华A,1992-07-21,25.25,25.4,25.6,24.5,24.85,125400,15713000,-0.4,-1.5842,125.303,66.3583,
000017.SZ,深中华A,1992-07-22,24.85,24.7,25,24.55,24.95,84800,10544000,0.1,0.4024,124.3396,66.6254,
000017.SZ,深中华A,1992-07-23,24.95,24.8,25.5,24.8,25.4,139100,17529000,0.45,1.8036,126.0173,67.827,
000017.SZ,深中华A,1992-07-24,25.4,25.5,25.9,25.5,25.9,167100,21474000,0.5,1.9685,128.5099,69.1622,
000017.SZ,深中华A,1992-07-27,25.9,26,26.8,25.9,26.75,143700,19003000,0.85,3.2819,132.2408,71.432,
000017.SZ,深中华A,1992-07-28,26.75,26.7,26.8,25.8,25.8,118600,15604000,-0.95,-3.5514,131.5683,68.8952,
000017.SZ,深中华A,1992-07-29,25.8,25.65,26.05,25.35,25.85,99200,12807000,0.05,0.1938,129.1028,69.0287,
000017.SZ,深中华A,1992-07-30,25.85,26,26,25.7,25.9,67600,8750000,0.05,0.1934,129.4379,69.1622,
000017.SZ,深中华A,1992-07-31,25.9,26,26,25.3,25.3,73500,9501000,-0.6,-2.3166,129.2653,67.56,
000017.SZ,深中华A,1992-08-03,25.3,25.15,25.15,23.8,24,77300,9567000,-1.3,-5.1383,123.7646,64.0885,
000017.SZ,深中华A,1992-08-04,24,23.85,25.05,23.4,24.8,93600,11434000,0.8,3.3333,122.1581,66.2248,
000017.SZ,深中华A,1992-08-05,24.8,24.95,25.2,24.2,24.6,91100,11265000,-0.2,-0.8065,123.6553,65.6907,
000017.SZ,深中华A,1992-08-06,24.6,24.75,24.9,24.5,24.75,64400,7954000,0.15,0.6098,123.5093,66.0913,
000017.SZ,深中华A,1992-08-07,24.75,24.6,25.7,24.3,25.6,70300,8894000,0.85,3.4343,126.5149,68.3611,
000017.SZ,深中华A,1992-08-10,25.6,25.75,27,25.75,26.35,81700,10755000,0.75,2.9297,131.6401,70.3639,
000017.SZ,深中华A,1992-08-11,26.35,26.15,26.15,22.9,24.7,22800,2775000,-1.65,-6.2619,121.7105,65.9578,
000017.SZ,深中华A,1992-08-12,24.7,24.7,25.5,24.5,24.55,120000,14997000,-0.15,-0.6073,124.975,65.5572,
000017.SZ,深中华A,1992-08-13,24.55,24.5,24.5,23.6,23.7,116800,14060000,-0.85,-3.4623,120.3767,63.2874,
000017.SZ,深中华A,1992-08-14,23.7,23.8,25,23.8,24.9,87200,10693000,1.2,5.0633,122.6261,66.4918,
000017.SZ,深中华A,1992-08-17,24.9,25.05,26,25.05,25.4,81000,10337000,0.5,2.008,127.6173,67.827,
000017.SZ,深中华A,1992-08-18,25.4,25.4,25.4,24.35,25,52400,6495000,-0.4,-1.5748,123.9504,66.7589,
000017.SZ,深中华A,1992-08-19,25,25,25,24.6,24.85,47300,5872000,-0.15,-0.6,124.1438,66.3583,
000017.SZ,深中华A,1992-08-20,24.85,25,25,24.6,24.8,29700,3679000,-0.05,-0.2012,123.8721,66.2248,
000017.SZ,深中华A,1992-08-21,24.8,24.7,24.8,24.2,24.4,38400,4701000,-0.4,-1.6129,122.4219,65.1567,
000017.SZ,深中华A,1992-08-24,24.4,24.25,24.25,23.5,23.6,56600,6743000,-0.8,-3.2787,119.1343,63.0204,
000017.SZ,深中华A,1992-08-25,23.6,23.6,23.6,22.8,22.8,89400,10307000,-0.8,-3.3898,115.2908,60.8841,
000017.SZ,深中华A,1992-08-26,22.8,22.8,24,22.5,23.6,107600,12497000,0.8,3.5088,116.1431,63.0204,
000017.SZ,深中华A,1992-08-27,23.6,23.75,24.1,23.1,23.6,69300,8154000,0,0,117.6623,63.0204,
000017.SZ,深中华A,1992-08-28,23.6,23.6,23.9,23.35,23.7,41400,4891000,0.1,0.4237,118.1401,63.2874,
000017.SZ,深中华A,1992-08-31,23.7,23.7,23.7,23,23.1,20300,2365000,-0.6,-2.5316,116.5025,61.6852,
000017.SZ,深中华A,1992-09-01,23.1,23,23,22.45,22.55,31100,3535000,-0.55,-2.381,113.6656,60.2165,
000017.SZ,深中华A,1992-09-02,22.55,22.5,22.7,21,22.6,61600,6831000,0.05,0.2217,110.8929,60.35,
000017.SZ,深中华A,1992-09-03,22.6,22.8,22.9,21.8,22.3,44700,5002000,-0.3,-1.3274,111.9016,59.5489,
000017.SZ,深中华A,1992-09-04,22.3,22.2,22.25,20.95,21.15,87400,9327000,-1.15,-5.157,106.7162,56.478,
000017.SZ,深中华A,1992-09-07,21.15,21,21,19.4,19.7,84000,8383000,-1.45,-6.8558,99.7976,52.606,
000017.SZ,深中华A,1992-09-08,19.7,19.55,21.8,19.2,21.8,101800,10387000,2.1,10.6599,102.0334,58.2137,
000017.SZ,深中华A,1992-09-09,21.8,21.95,22.3,21,22.3,126000,13739000,0.5,2.2936,109.0397,59.5489,
000017.SZ,深中华A,1992-09-10,22.3,22.45,22.65,21.5,22.05,105800,11799000,-0.25,-1.1211,111.5217,58.8813,
000017.SZ,深中华A,1992-09-11,22.05,22,22,21.35,22,92200,10015000,-0.05,-0.2268,108.6226,58.7478,
000017.SZ,深中华A,1992-09-14,22,22.15,22.6,20.6,21,72000,7995000,-1,-4.5455,111.0417,56.0775,
000017.SZ,深中华A,1992-09-15,21,21,21.9,20.7,21.2,45100,4771000,0.2,0.9524,105.7871,56.6115,
000017.SZ,深中华A,1992-09-16,21.2,21.05,21.3,21,21.2,153000,3243600,0,0,21.2,56.6115,
000017.SZ,深中华A,1992-09-17,21.2,21.3,21.85,21.3,21.7,48000,5172000,0.5,2.3585,107.75,57.9467,
000017.SZ,深中华A,1992-09-18,21.7,21.6,22,21.6,21.6,41600,4521000,-0.1,-0.4608,108.6779,57.6797,
000017.SZ,深中华A,1992-09-21,21.6,21.5,21.5,21.1,21.3,29700,3159000,-0.3,-1.3889,106.3636,56.8786,
000017.SZ,深中华A,1992-09-22,21.3,21.15,21.3,20.8,21,27100,2850000,-0.3,-1.4085,105.1661,56.0775,
000017.SZ,深中华A,1992-09-23,21,21,21.35,21,21.2,24000,2542000,0.2,0.9524,105.9167,56.6115,
000017.SZ,深中华A,1992-09-24,21.2,21.05,22.2,21.05,22.05,55400,6054000,0.85,4.0094,109.278,58.8813,
000017.SZ,深中华A,1992-09-25,22.05,22.2,22.6,21.6,21.7,58000,6406000,-0.35,-1.5873,110.4483,57.9467,
000017.SZ,深中华A,1992-09-28,21.7,21.55,22.5,21.4,22.05,79500,8780000,0.35,1.6129,110.4403,58.8813,
000017.SZ,深中华A,1992-09-29,22.05,22,22.6,22,22.6,118100,13247000,0.55,2.4943,112.1677,60.35,
000017.SZ,深中华A,1992-09-30,22.6,22.75,22.8,22.45,22.8,118600,13475000,0.2,0.885,113.6172,60.8841,
000017.SZ,深中华A,1992-10-05,22.8,23.4,23.5,22.8,23,44000,5072000,0.2,-1.7094,115.2727,61.4182,
000017.SZ,深中华A,1992-10-06,23,23,23,22.45,22.55,30700,3475000,-0.45,-1.9565,113.1922,60.2165,
000017.SZ,深中华A,1992-10-07,22.55,22.5,22.8,22.5,22.8,23500,2662000,0.25,1.1086,113.2766,60.8841,
000017.SZ,深中华A,1992-10-08,22.8,22.8,23,22.5,22.7,23500,2676000,-0.1,-0.4386,113.8723,60.6171,
000017.SZ,深中华A,1992-10-09,22.7,22.6,22.9,22.6,22.8,30300,3445000,0.1,0.4405,113.6964,60.8841,
000017.SZ,深中华A,1992-10-12,22.8,22.95,23.6,22.7,22.8,140900,16275000,0,0,115.5075,60.8841,
000017.SZ,深中华A,1992-10-13,22.8,22.8,22.8,22.2,22.35,44400,4981000,-0.45,-1.9737,112.1847,59.6824,
000017.SZ,深中华A,1992-10-14,22.35,22.2,22.2,21.3,21.4,93800,10117000,-0.95,-4.2506,107.8571,57.1456,
000017.SZ,深中华A,1992-10-15,21.4,21.4,22.1,21,21.75,62000,6637000,0.35,1.6355,107.0484,58.0802,
000017.SZ,深中华A,1992-10-16,21.75,21.7,22,21.4,21.6,43700,4723000,-0.15,-0.6897,108.0778,57.6797,
000017.SZ,深中华A,1992-10-19,21.6,21.5,21.5,20.3,20.4,52800,5487000,-1.2,-5.5556,103.9205,54.4752,
000017.SZ,深中华A,1992-10-20,20.4,20.55,21.5,20.3,20.6,46700,4806000,0.2,0.9804,102.9122,55.0093,
000017.SZ,深中华A,1992-10-21,20.6,20.5,20.6,19.45,19.75,28600,2859000,-0.85,-4.1262,99.965,52.7395,
000017.SZ,深中华A,1992-10-22,19.75,19.6,19.6,18.35,19.15,56700,5431000,-0.6,-3.038,95.7848,51.1373,
000017.SZ,深中华A,1992-10-23,19.15,19,19.05,18.3,18.35,66400,6197000,-0.8,-4.1775,93.3283,49.001,
000017.SZ,深中华A,1992-10-26,18.35,18.2,18.2,15.2,16.5,66000,5348000,-1.85,-10.0817,81.0303,44.0609,
000017.SZ,深中华A,1992-10-27,16.5,16.5,17,15.6,15.9,88700,7169000,-0.6,-3.6364,80.823,42.4586,
000017.SZ,深中华A,1992-10-28,15.9,15.9,16.5,15.6,16.25,79600,6391000,0.35,2.2013,80.2889,43.3933,
000017.SZ,深中华A,1992-10-29,16.25,16.2,17.5,16,17.45,64400,5304000,1.2,7.3846,82.3602,46.5977,
000017.SZ,深中华A,1992-10-30,17.45,17.5,18.5,17.5,18.1,111600,10053000,0.65,3.7249,90.0806,48.3334,
000017.SZ,深中华A,1992-11-02,18.1,18.1,18.1,16.65,16.7,85400,7365000,-1.4,-7.7348,86.2412,44.5949,
000017.SZ,深中华A,1992-11-03,16.7,16.7,17.3,16,17.3,60900,5021000,0.6,3.5928,82.4466,46.1971,
000017.SZ,深中华A,1992-11-04,17.3,17.45,17.45,16.65,16.7,49100,4152000,-0.6,-3.4682,84.5621,44.5949,
000017.SZ,深中华A,1992-11-05,16.7,16.55,17,16.4,16.55,28400,2367000,-0.15,-0.8982,83.3451,44.1944,
000017.SZ,深中华A,1992-11-06,16.55,16.5,16.5,16.1,16.2,32900,2687000,-0.35,-2.1148,81.6717,43.2597,
000017.SZ,深中华A,1992-11-09,16.2,16.05,16.55,15.9,16.1,26900,2171000,-0.1,-0.6173,80.7063,42.9927,
000017.SZ,深中华A,1992-11-10,16.1,16,16.4,15.9,15.95,22600,1820000,-0.15,-0.9317,80.531,42.5922,
000017.SZ,深中华A,1992-11-11,15.95,16,16,15,15.5,40500,3126000,-0.45,-2.8213,77.1852,41.3905,
000017.SZ,深中华A,1992-11-12,15.5,15.8,16.05,14.5,14.9,49600,3769000,-0.6,-3.871,75.9879,39.7883,
000017.SZ,深中华A,1992-11-13,14.9,15,15,13.65,14.2,87400,6171000,-0.7,-4.698,70.6064,37.919,
000017.SZ,深中华A,1992-11-16,14.2,14.2,14.2,12.5,12.55,87300,5772000,-1.65,-11.6197,66.1168,33.513,
000017.SZ,深中华A,1992-11-17,12.55,12.4,12.75,11.3,12.45,133700,7992000,-0.1,-0.7968,59.7756,33.2459,
000017.SZ,深中华A,1992-11-18,12.45,12.5,14,12.2,13.4,142500,9286000,0.95,7.6305,65.1649,35.7828,
000017.SZ,深中华A,1992-11-19,13.4,13.5,13.8,12.9,13.4,120500,8063000,0,0,66.9129,35.7828,
000017.SZ,深中华A,1992-11-20,13.4,13.4,13.5,12.6,12.6,110800,7291000,-0.8,-5.9701,65.8032,33.6465,
000017.SZ,深中华A,1992-11-23,12.6,12.6,12.6,11.35,11.9,89700,5339000,-0.7,-5.5556,59.5206,31.7772,
000017.SZ,深中华A,1992-11-24,11.9,11.9,12.5,11.85,12.5,57200,3513000,0.6,5.042,61.4161,33.3794,
