代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),市盈率,
600053.SH,九鼎投资,1997-04-18,--,13.52,14.09,12.8,13.26,24543000,327350670,--,--,13.3378,36.5526,
600053.SH,九鼎投资,1997-04-21,13.26,13.6,14.59,13.6,14.59,6677100,95696196,1.33,10.0302,14.332,40.2188,
600053.SH,九鼎投资,1997-04-22,14.59,15.58,16.05,15.5,16.05,15525800,245781400,1.46,10.0069,15.8305,44.2435,
600053.SH,九鼎投资,1997-04-23,16.05,16.68,17.66,16.6,16.85,12266500,209997920,0.8,4.9844,17.1196,46.4488,
600053.SH,九鼎投资,1997-04-24,16.85,16.88,18.54,16.88,18.54,8127200,143459687,1.69,10.0297,17.6518,51.1074,
600053.SH,九鼎投资,1997-04-25,18.54,19.2,20.39,19.09,20.39,6276100,126432202,1.85,9.9784,20.145,56.2071,
600053.SH,九鼎投资,1997-04-28,20.39,21.5,22.43,21.48,22.43,3854100,85303421,2.04,10.0049,22.1332,61.8306,
600053.SH,九鼎投资,1997-04-29,22.43,24.47,24.67,20.2,21.6,8027000,181152600,-0.83,-3.7004,22.5679,59.5426,
600053.SH,九鼎投资,1997-04-30,21.6,21.23,21.88,20.16,21.8,4560000,97760502,0.2,0.9259,21.4387,60.0939,
600053.SH,九鼎投资,1997-05-05,21.8,21.8,23.5,21.8,22.56,3367700,75892361,0.76,3.4862,22.5354,62.189,
600053.SH,九鼎投资,1997-05-06,22.56,22.8,23.4,21.47,22.64,4192700,94149582,0.08,0.3546,22.4556,62.4095,
600053.SH,九鼎投资,1997-05-07,22.64,22.46,22.5,21.86,22.23,2750300,61081525,-0.41,-1.811,22.209,61.2793,
600053.SH,九鼎投资,1997-05-08,22.23,22,23.2,21,21.01,3348900,74476174,-1.22,-5.4881,22.239,57.9162,
600053.SH,九鼎投资,1997-05-09,21.01,21.28,22,20.4,21.85,3000800,63699136,0.84,3.9981,21.2274,60.2318,
600053.SH,九鼎投资,1997-05-12,21.85,21.8,22.3,21.41,21.65,2491200,54389681,-0.2,-0.9153,21.8327,59.6805,
600053.SH,九鼎投资,1997-05-13,21.65,21.2,21.65,20.8,21.2,1553900,32876064,-0.45,-2.0785,21.1571,58.44,
