四,04/26/2018,146.72
三,04/25/2018,145.94
二,04/24/2018,145.56
一,04/23/2018,145.86
五,04/20/2018,144.9
四,04/19/2018,147.7
三,04/18/2018,148.79
二,04/17/2018,160.91
一,04/16/2018,157.89
五,04/13/2018,156.71
四,04/12/2018,158.07
三,04/11/2018,155.36
二,04/10/2018,155.39
一,04/09/2018,152.69
五,04/06/2018,150.57
四,04/05/2018,154.03
三,04/04/2018,154.12
二,04/03/2018,149.85
一,04/02/2018,150.07
四,03/29/2018,153.43
三,03/28/2018,152.52
二,03/27/2018,151.91
一,03/26/2018,153.37
五,03/23/2018,148.89
四,03/22/2018,152.09
三,03/21/2018,156.69
二,03/20/2018,156.2
一,03/19/2018,157.35
五,03/16/2018,160.26
四,03/15/2018,159.61
三,03/14/2018,158.12
二,03/13/2018,159.32
一,03/12/2018,160.26
五,03/09/2018,159.31
四,03/08/2018,156.21
三,03/07/2018,158.32
二,03/06/2018,155.72
一,03/05/2018,156.95
五,03/02/2018,154.49
四,03/01/2018,153.81
三,02/28/2018,155.83
二,02/27/2018,156.55
一,02/26/2018,158.58
五,02/23/2018,155.52
四,02/22/2018,153.18
三,02/21/2018,153.96
二,02/20/2018,155.16
五,02/16/2018,156.18
四,02/15/2018,156.01
三,02/14/2018,154.76
二,02/13/2018,150.75
一,02/12/2018,151.4
五,02/09/2018,149.51
四,02/08/2018,147.59
三,02/07/2018,153.85
二,02/06/2018,155.34
一,02/05/2018,152.53
五,02/02/2018,159.03
四,02/01/2018,162.4
三,01/31/2018,163.7
二,01/30/2018,163.62
一,01/29/2018,166.8
五,01/26/2018,167.34
四,01/25/2018,165.47
三,01/24/2018,165.37
二,01/23/2018,166.25
一,01/22/2018,162.6
五,01/19/2018,162.37
四,01/18/2018,169.12
三,01/17/2018,168.65
二,01/16/2018,163.85
五,01/12/2018,163.14
四,01/11/2018,164.2
三,01/10/2018,164.18
二,01/09/2018,163.83
一,01/08/2018,163.47
五,01/05/2018,162.49
四,01/04/2018,161.7
三,01/03/2018,158.49
二,01/02/2018,154.25
五,12/29/2017,153.42
四,12/28/2017,154.04
三,12/27/2017,153.13
二,12/26/2017,152.83
五,12/22/2017,152.5
四,12/21/2017,151.5
三,12/20/2017,152.95
二,12/19/2017,153.23
一,12/18/2017,153.33
五,12/15/2017,152.5
四,12/14/2017,154.0
三,12/13/2017,153.91
二,12/12/2017,156.74
一,12/11/2017,155.41
五,12/08/2017,154.81
四,12/07/2017,153.57
三,12/06/2017,154.1
二,12/05/2017,155.35
一,12/04/2017,156.46
五,12/01/2017,154.76
四,11/30/2017,153.97
三,11/29/2017,153.55
二,11/28/2017,152.47
一,11/27/2017,151.98
五,11/24/2017,151.84
三,11/22/2017,151.77
二,11/21/2017,151.95
一,11/20/2017,150.51
五,11/17/2017,148.97
四,11/16/2017,149.12
三,11/15/2017,147.1
二,11/14/2017,148.89
一,11/13/2017,148.4
五,11/10/2017,149.16
四,11/09/2017,150.3
三,11/08/2017,151.57
二,11/07/2017,151.35
一,11/06/2017,150.84
五,11/03/2017,151.58
四,11/02/2017,153.35
三,11/01/2017,154.03
二,10/31/2017,154.06
一,10/30/2017,154.36
五,10/27/2017,153.68
四,10/26/2017,153.6
三,10/25/2017,153.5
二,10/24/2017,155.88
一,10/23/2017,159.55
五,10/20/2017,162.07
四,10/19/2017,160.9
三,10/18/2017,159.53
二,10/17/2017,146.54
一,10/16/2017,146.83
五,10/13/2017,147.1
四,10/12/2017,147.03
三,10/11/2017,147.62
二,10/10/2017,148.5
一,10/09/2017,147.39
五,10/06/2017,146.48
四,10/05/2017,146.72
三,10/04/2017,146.48
二,10/03/2017,146.78
一,10/02/2017,146.66
五,09/29/2017,145.08
四,09/28/2017,145.66
三,09/27/2017,145.66
二,09/26/2017,146.56
一,09/25/2017,145.87
五,09/22/2017,145.13
四,09/21/2017,145.26
三,09/20/2017,145.88
二,09/19/2017,144.39
一,09/18/2017,144.55
五,09/15/2017,144.82
四,09/14/2017,145.54
三,09/13/2017,145.99
二,09/12/2017,145.76
一,09/11/2017,144.86
五,09/08/2017,142.45
